date,title,link,department
2022/01/07,111年「媒合演藝團隊進駐演藝場所合作計畫」補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1oBJaM3x2LqIyPXv7SrPIRU4gEFNUeFMixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-藝術發展司
2022/01/05,111年表演藝術類補助作業要點補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO18xpIzJL6GC+BMqFq4M+IceleDisGKEM+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-藝術發展司
2022/01/05,111年「文化部補助文化團體及個人從事文化交流活動處理要點」臺灣與拉丁美洲文化交流合作專案補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0olQXOoGDGH0XP+dI7Y3W6LlbxRcODRT6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-文化交流司
2022/01/05,111年「文化部科技藝術創作發展補助作業要點」 補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO18xpIzJL6GCxY0N9AuZCaeyNlV7l0rHpSxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-藝術發展司
2022/01/04,110年度第2梯次國產電影長片輔導金獲選名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO2vsUeZbEOV5V0MWdostMaj3btcjCX4x9+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-電影產業組
2022/01/03,110年第5次「文化部辦理發展國際數位傳播補助作業要點」獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO19FjDLNoarw9DAZq2M6j4irn/dtTH8m/ixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-影視及流行音樂發展司
2022/01/03,111年度推動實體書店發展補助獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0olQXOoGDGH+F+Z25JS39K8Juq+AZBErmxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-人文及出版司
2021/12/31,110年第2次文化部補助辦理蒙藏學術文化及人道援助活動申請案件審查結果,AwardPublish.jsp?__viewstate=KSQNMhhcbO0LNp6OTlbJYNP7dFeccLWH8Juq+AZBErmxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-蒙藏文化中心
2021/12/30,111年度「文化部語言友善環境及創作應用補助作業要點」,AwardPublish.jsp?__viewstate=KSQNMhhcbO0olQXOoGDGHw559HkEmMnoiWi8pTbkCD2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-人文及出版司
2021/12/30,110年第4次「文化部辦理發展國際數位傳播補助作業要點」獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO19FjDLNoarw9DAZq2M6j4imdNC0Pv85r6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-影視及流行音樂發展司
2021/12/29,111年第1期「文化部推廣文學閱讀及人文活動補助作業—文學推廣類」補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0olQXOoGDGH4yPXv7SrPIReleDisGKEM+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-人文及出版司
2021/12/29,110年度「文化部辦理國際競賽獲獎者獎勵作業要點」獲獎勵名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1oBJaM3x2LqLi8OQlaJsJFLlbxRcODRT6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-文創發展司
2021/12/28,111年第一期「文化部推廣文學閱讀及人文活動補助作業--閱讀推廣類」補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0olQXOoGDGH4yPXv7SrPIRyNlV7l0rHpSxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-人文及出版司
2021/12/28,110年國立臺灣工藝研究發展中心「推展工藝文化與工藝傳承計畫」補助案獲補助名單及審查委員名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1wFizIWpX53NShNGd0u0ve8Juq+AZBErmxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立臺灣工藝研究發展中心
