id,value
新竹市玻璃工藝博物館,2900000
嘉義縣政府,2900000
南投縣史館,2900000
典選音樂事業股份有限公司,2900000
國立中正大學,2900000
深活共構有限公司,2900000
大溪木藝生態博物館,2900000
臺中市南屯?頭店生活館,2900000
好威映象有限公司,2899996
埔里地方文化館,2880000
開拓動漫事業有限公司,2872000
台灣藝文空間連線TASA協會,2870000
台東表演藝術館,2850000
弄像傳媒服務有限公司,2800000
臺東縣海端鄉布農族文化館,2800000
 童年漫畫股份有限公司,2800000
飛凌五分之六製作有限公司,2800000
梅仔坑藝文推廣促進會,2800000
牽猴子股份有限公司,2800000
楊英風美術館,2800000
蘆洲李宅古蹟李友邦將軍紀念館,2800000
班馬傳媒股份有限公司,2800000
威德文化有限公司,2800000
瘋戲樂工作室,2761400
祥太文化館,2750000
樹谷生活科學館,2750000
許哲瑜藝術工作室,2745500
臺北爵士大樂隊,2700000
摩登星球影業有限公司,2700000
英雄旅程股份有限公司,2700000
國立臺北教育大學,2700000
澎湖縣政府,2700000
環音有限公司,2700000
七日印象電影有限公司,2699997
這哪位音樂工作室,2666000
二林蔗農事件紀念館,2660000
方信凱,2650000
釀作映畫有限公司,2650000
尊彩國際藝術有限公司,2650000
漢霖民俗說唱藝術團,2644100
國立臺北科技大學,2642000
界面影像有限公司,2628000
得樂音樂整合工作室,2600000
台灣生命與法律美學推廣協會,2600000
東臺傳播股份有限公司,2600000
豐原漆藝館,2600000
屏東縣鄉土藝術館,2600000
張學良故居,2590000
連想有限公司,2580000
聚場文化有限公司,2580000
社團法人台灣視覺希望協會,2580000
太極影音科技股份有限公司,2574200
嘉義市政府文化局,2560000
鹿仔草民俗文化學堂,2550000
獨立影片有限公司,2550000
天空之城音樂製作有限公司,2544650
金門歷史民俗博物館,2510000
大開劇團,2500000
蘇匯宇,2500000
夕陽音樂產業有限公司,2500000
波光粼粼有限公司,2500000
李宜珊,2500000
中國醫藥大學立夫中醫藥博物館,2500000
臺灣工藝之家協會,2500000
童心力有限公司,2500000
十一音像有限公司,2500000
明天的歌有限公司,2500000
台灣頂極工藝協會,2500000
符號文化股份有限公司,2500000
穀得電影有限公司,2500000
中華民國圖書出版事業協會,2500000
社團法人台灣流行音樂產業技術發展協會,2500000
新竹縣縣史館,2500000
靖像有限公司,2500000
巫家捏麵館,2500000
王逸鈴,2500000
蒙藏基金會辦理110年在臺藏族汽機車駕駛執照考照輔導活動計畫,2490650
阿之寶有限公司,2466000
2021永成戲院影視音體驗計畫,2450000
伊誕創藝視界企業社,2450000
參拾柒度製作有限公司,2450000
雲林縣虎尾鎮建國眷村再造協會,2430000
財團法人天主教上智文教基金會,2400000
林廣財音樂工作室,2400000
勤習堂電影有限公司,2400000
成功大學博物館,2400000
小巨人絲竹樂團,2400000
香港商台北當代藝術博覽會有限公司台灣分公司,2400000
拍手數位科技有限公司,2400000
埔里鎮地方文化館,2400000
新港文化館25號倉庫,2400000
啟妍有限公司,2400000
崧旭資訊股份有限公司,2400000
臺東縣自然史教育館,2400000
中國文化大學,2400000
財團法人安平文教基金會,2400000
撫臺街洋樓,2400000
屏東縣滿州鄉民謠協進會,2400000
范特喜微創文化股份有限公司,2380000
鈞泰新媒體有限公司,2380000
台北市影音節目製作商業同業公會,2350000
轉轉影像事業有限公司,2350000
森思股份有限公司,2320000
夢想視覺特效有限公司,2320000
索爾視覺效果股份有限公司,2318000
臺中市港區藝術中心,2310000
南島之眼文化工作室,2300000
在地實驗文化事業有限公司,2300000
 財團法人東台灣研究會文化藝術基金會,2300000
笨道策展有限公司,2300000
財團法人奇美博物館基金會,2300000
余聿,2300000
爵士寶貝有限公司,2300000
財團法人中華民國帝門藝術教育基金會,2300000
子皿有限公司,2300000
宜蘭縣南澳泰雅文化館,2300000
竹藝博物館,2290000
林青萱,2290000
旋轉牧馬有限公司,2260000
新北市烏來泰雅民族博物館,2256000
在不在實業社,2250000
武德殿,2250000
大山北月有限公司,2250000
吳德淳,2250000
它好好國際有限公司,2250000
風尚旅行社有限公司,2250000
翃舞製作,2236820
彼此影業股份有限公司,2230000
掀冊工作室,2230000
好痛音樂事業有限公司,2206800
旗山車站,2200000
夢芝林有限公司,2200000
小地方文化工作室有限公司,2200000
越在嘉文化棧,2200000
聲達科技音樂有限公司,2200000
安平鄉土文化館,2200000
社團法人台灣台北當代藝術中心協會,2200000
祈菩行文化事業有限公司,2200000
好伴社計股份有限公司,2200000
牛欄河微創文化有限公司,2200000
打狗英國領事館,2200000
偶爾偉大工作室,2200000
財團法人辜公亮文教基金會,2200000
山海屯股份有限公司,2200000
中華民國文化資產維護學會,2200000
看不見電影有限公司,2200000
晨星出版有限公司,2190000
非常棒國際創意股份有限公司,2180000
社團法人臺南市台南新芽協會,2173000
啟騰事業有限公司,2155000
約翰古設計有限公司,2150000
朴子刺繡文化館,2150000
二之間有限公司,2150000
